GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTYA,CTY_SUBA,PLACEA,TRACTA,TRBL_CTA,TRBL_BGA,BLCK_GRPA,C_CITYA,TRUSTA,RES_ONLYA,AIANHHA,TRBL_SUBA,ANRCA,MSA_CMSAA,PMSAA,NECMAA,URB_AREAA,URBRURALA,CD106A,CD108A,CD109A,ZIP3A,ZCTAA,NAME,GV5001,GV5002,GV5003,GV5004,GV5005,GV5006,GV5007,GV5008,GV5009,GV5010,GV5011,GV5012,GV5013,GV5014,GV5015,GV5016,GV5017,GV5018,GV5019,GV5020,GV5021,GV5022,GV5023,GV5024,GV5025,GV5026,GV5027,GV5028,GV5029,GV5030,GV5031,GV5032,GV5033,GV5034,GV5035,GV5036,GV5037,GV5038,GV5039,GV5040,GV5041,GV5042,GV5043,GV5044,GV5045,GV5046,GV5047,GV5048,GV5049,GV5050,GV5051,GV5052,GV5053,GV5054,GV5055,GV5056,GV5057,GV5058,GV5059,GV5060,GV5061,GV5062,GV5063,GV5064,GV5065,GV5066,GV5067,GV5068,GV5069,GV5070,GV5071
"G130","2000","3","5","Georgia","13",,,,,,,,,,,,,,,,,,,,,,,,"Georgia",1818,496,613,126,17203,2157,95,1556,10494,282,4155,3888,37392,967,11860,49,1837,3107,84,9334,5227,12216,73217,4013,664569,324,67253,4687,126107,25136,571238,126,16325,3779,15293,504,6441,640729,1149,163218,1109,6573,319,102,310,249,2995,33858,1159,82765,7544,5986,32001,4788,142642,140682,1227,1342,5680,1242,36,98049,37346,9946,2407,9197,1102178,33029,45380,6617,2766194
"G150","2000","4","9","Hawaii","15",,,,,,,,,,,,,,,,,,,,,,,,"Hawaii",99,69,19,37,1622,507,1,595,2020,175,641,461,3049,100,1842,16,250,556,7,1706,731,3058,7221,267,51653,83,5838,1230,17781,3345,70384,19,1766,35,2104,86,363,52755,208,22094,208,926,43,30,60,185,583,9632,164,10770,48527,391,4930,1219,9100,13014,206,204,419,241,3,1934,8985,1946,241,1270,17045,3919,1437,498,980670
"G160","2000","4","8","Idaho","16",,,,,,,,,,,,,,,,,,,,,,,,"Idaho",71,12,321,40,1446,533,27,449,2886,6637,963,216,8516,288,3493,39,381,764,3,5339,2318,35702,32214,113,234467,74,18193,4644,38200,8851,244209,34,2960,2,2672,506,272,129407,87,34553,174,1193,169,11,41,87,1339,46308,752,14715,4187,1064,5810,7386,23314,41367,367,426,681,369,3,843,45704,11923,161,1957,108091,20220,489,2829,199831
"G170","2000","2","3","Illinois","17",,,,,,,,,,,,,,,,,,,,,,,,"Illinois",564,737,6424,761,52798,7958,15685,2241,44937,533,34208,3093,30821,6000,15332,116,1436,43613,217,123708,28753,59632,195847,10801,831820,1319,59293,19108,267089,45100,2440549,281,95064,840,55971,956,8184,1511569,3557,744274,5772,87294,6963,2865,471,366,4985,178923,5146,932996,7593,24308,121397,14328,126963,150255,17893,5577,42966,15519,155,73194,303044,37505,4298,47623,569102,51769,27286,25853,3584655
"G180","2000","2","3","Indiana","18",,,,,,,,,,,,,,,,,,,,,,,,"Indiana",237,208,343,304,11680,1424,328,1249,8555,168,11918,967,21662,1053,7840,30,839,12380,145,12299,6266,12244,134700,1674,540079,167,42283,4952,148544,19149,1377902,94,18711,124,35715,417,1476,655530,363,141486,1198,10051,575,4254,230,211,2292,34174,8377,183989,2846,7606,19007,4436,79932,100264,9238,2283,21806,2821,12,22104,58175,35567,1208,8118,730331,36392,3632,4864,958418
"G190","2000","2","4","Iowa","19",,,,,,,,,,,,,,,,,,,,,,,,"Iowa",105,67,162,47,4432,294,15,566,4026,50,8120,271,7232,563,2810,0,399,3432,0,51508,8521,66954,134076,570,277487,107,18833,2413,75501,9853,1046153,57,5754,88,3366,207,709,395506,187,49449,589,2572,5624,99,32,93,2678,166667,4042,32704,1114,965,7685,6583,41407,43402,889,583,1655,465,2,6991,95337,16300,411,2021,196807,22841,941,6882,248232
"G200","2000","2","4","Kansas","20",,,,,,,,,,,,,,,,,,,,,,,,"Kansas",333,218,53,64,6785,488,32,436,5815,146,4651,337,9327,237,3295,2,466,6312,14,18021,4773,15145,61178,775,289938,119,28011,1933,82501,12196,695442,1080,4145,47,3903,274,2004,309181,197,50729,312,2073,468,50,33,128,1478,29773,2993,34695,1805,911,16903,3052,51879,50339,585,940,1585,1200,5,9205,64308,14018,380,2577,237358,21882,1796,1333,504910
"G210","2000","3","6","Kentucky","21",,,,,,,,,,,,,,,,,,,,,,,,"Kentucky",294,140,159,170,7191,471,37,366,2921,55,1641,310,14590,226,3648,33,896,1211,37,3129,1784,4191,49072,415,391542,78,26987,1421,65977,7818,514955,54,4733,59,6499,136,1581,423237,139,62383,357,1945,138,61,92,89,894,10826,1033,28251,1611,1252,7571,2091,66340,60301,494,540,2231,466,4,12539,13801,9454,411,2444,846105,18245,2815,3793,567539
"G220","2000","3","7","Louisiana","22",,,,,,,,,,,,,,,,,,,,,,,,"Louisiana",44960,34,194,129,13553,405,43,561,3159,354,4030,689,9566,261,4137,16,770,1691,74,3581,1765,4221,25108,499,232816,113,22238,1474,545429,134779,315346,17,5929,159,4625,142,1180,314647,230,195561,259,1577,66,66,208,61,1103,11520,284,19200,2550,952,6858,1514,52905,38097,278,577,1069,253,0,31945,11476,3289,494,1702,449714,9993,5689,2206,1585311
"G230","2000","1","1","Maine","23",,,,,,,,,,,,,,,,,,,,,,,,"Maine",648,235,649,87,3004,1262,14,268,1890,57,706,223,6747,221,12108,18,557,413,13,1770,1077,5837,13267,897,274423,180,6423,6035,181576,109696,85553,5,5423,13,2906,60,228,192344,45,58866,371,4744,32,34,62,39,599,9827,248,24982,5351,621,7180,2083,33575,61226,189,393,1673,240,0,1414,21342,1878,135,2059,120038,9100,881,524,86425
